,0,1,C,A,T,H,CA,C_map
1vq8V00,-2.707479,6.1784835,1,10,287,310,1.10,Mainly Alpha
3vqjA00,0.42311302,1.2812353,3,40,1050,10,3.40,Alpha Beta
3zxcA00,6.699955,5.059868,4,10,40,20,4.10,Few Sec. Str.
3rstA02,-1.8253508,4.1710687,6,20,330,10,6.20,Special
4oelB00,5.9609466,1.9799066,2,40,50,170,2.40,Mainly Beta
3vz9B00,2.9607105,4.6125865,3,30,457,50,3.30,Alpha Beta
3n50B02,1.0126758,5.2672157,1,10,287,4280,1.10,Mainly Alpha
2yb1A02,0.10302725,5.88955,1,10,150,650,1.10,Mainly Alpha
1zs9A02,-1.14773,3.9992409,1,10,720,60,1.10,Mainly Alpha
2hafA02,4.9201674,5.4161305,3,30,70,1300,3.30,Alpha Beta
4y97D00,-2.4190087,1.0879625,1,10,3200,20,1.10,Mainly Alpha
3ll2A00,6.8566046,0.799097,2,100,10,30,2.100,Mainly Beta
1v9mA02,-2.7591445,4.9571047,1,20,1690,10,1.20,Mainly Alpha
3p9aF00,0.17092621,1.1014907,1,10,132,80,1.10,Mainly Alpha
4gehA00,-7.364672,-1.0456114,1,20,120,1950,1.20,Mainly Alpha
1on2A02,-0.84613913,5.6392713,1,10,60,10,1.10,Mainly Alpha
1oruA00,3.2206712,0.78026384,2,40,33,20,2.40,Mainly Beta
3s13B01,-3.4612284,4.8967795,1,20,5,1450,1.20,Mainly Alpha
2bf6A01,1.6209167,-2.8009768,2,120,10,10,2.120,Mainly Beta
3q8gA02,-1.8719403,0.95412713,3,40,525,10,3.40,Alpha Beta
3zbeA00,2.285787,5.6172376,6,20,450,20,6.20,Special
2qnlA00,-3.830169,0.46670794,1,20,120,450,1.20,Mainly Alpha
2cveA01,2.7135966,3.8733244,3,30,230,30,3.30,Alpha Beta
4f98A00,7.3418293,3.4594176,2,30,140,50,2.30,Mainly Beta
4o6yB00,-8.72338,-2.37083,1,20,120,1770,1.20,Mainly Alpha
3qhqB01,2.4622698,3.1476161,3,40,50,11940,3.40,Alpha Beta
2wzpP04,5.8989944,6.0978403,2,10,25,60,2.10,Mainly Beta
5jouA01,5.1202383,-0.30756587,2,60,40,1760,2.60,Mainly Beta
3vdzA01,5.411715,6.2880316,4,10,80,180,4.10,Few Sec. Str.
3iayA06,5.444672,6.441461,6,10,140,1540,6.10,Special
4b21A01,-0.29094037,6.5360236,1,10,1670,40,1.10,Mainly Alpha
3n40P03,7.4632072,4.8479447,2,60,40,4310,2.60,Mainly Beta
2fv6A01,3.714555,7.244604,6,10,140,840,6.10,Special
2r0xA00,5.7499185,1.5899339,2,30,110,10,2.30,Mainly Beta
3g4nA01,7.2878804,4.0979214,3,10,40,10,3.10,Alpha Beta
2ahmE01,-3.214035,4.2725816,6,10,250,580,6.10,Special
4r4mA00,-8.607846,1.8387291,1,20,5,490,1.20,Mainly Alpha
2oo4A01,0.82726663,5.8921356,3,30,300,320,3.30,Alpha Beta
1hdoA00,0.38885212,0.84201396,3,40,50,720,3.40,Alpha Beta
2wfpA03,-1.5383693,3.705353,1,10,441,10,1.10,Mainly Alpha
2qtfA01,3.0051973,4.197337,3,40,50,11060,3.40,Alpha Beta
2ychA02,6.1656237,5.173147,3,30,1490,300,3.30,Alpha Beta
4owfA00,-9.715087,-4.6584253,1,20,5,990,1.20,Mainly Alpha
4luqC00,7.3118386,3.4971395,2,60,120,1690,2.60,Mainly Beta
1pfiA00,-2.2321882,3.0594816,1,20,5,230,1.20,Mainly Alpha
2hvrA03,-1.6498977,3.959855,1,10,10,1810,1.10,Mainly Alpha
2yguC00,-3.1107223,2.719921,1,10,238,190,1.10,Mainly Alpha
6iw3A00,7.1465187,3.959079,2,40,240,130,2.40,Mainly Beta
2zpaA01,1.775547,2.1880229,3,40,50,11040,3.40,Alpha Beta
3bl9B02,2.7840614,5.829716,3,30,2240,10,3.30,Alpha Beta
6e3aA01,1.70598,6.404781,1,10,10,970,1.10,Mainly Alpha
1h8pA02,5.824426,5.913294,2,10,10,10,2.10,Mainly Beta
3fvqA02,5.9267216,5.656792,2,40,50,450,2.40,Mainly Beta
4z6mA03,5.5761137,4.507163,4,10,1270,10,4.10,Few Sec. Str.
2lepA00,3.3704884,7.0877905,3,30,70,2350,3.30,Alpha Beta
4m3oA00,-0.75532454,3.153785,1,25,40,820,1.25,Mainly Alpha
4h8eA00,-0.95039815,-0.06925844,3,40,1180,10,3.40,Alpha Beta
4ld1A00,6.227269,-0.523971,2,60,450,20,2.60,Mainly Beta
4fhdA01,6.0362897,3.4828868,3,40,50,12110,3.40,Alpha Beta
3lzqA00,6.364162,0.69059736,2,60,40,2480,2.60,Mainly Beta
4adiA02,5.833979,5.103246,3,30,67,20,3.30,Alpha Beta
4bjmC00,-6.495333,-0.5023253,1,20,58,1680,1.20,Mainly Alpha
3qzmA00,6.3920135,2.2584832,2,60,40,1850,2.60,Mainly Beta
1k90C03,-4.617011,1.9919549,1,20,140,60,1.20,Mainly Alpha
1ej6B00,-5.328137,-8.269835,3,90,1830,10,3.90,Alpha Beta
4njcA00,5.9955616,5.0414515,3,10,20,730,3.10,Alpha Beta
2opeA00,-1.1672868,5.08733,3,30,540,20,3.30,Alpha Beta
3hh0B02,0.22844511,3.9135683,6,10,250,360,6.10,Special
3fz2E00,3.7269204,3.97717,3,30,70,1700,3.30,Alpha Beta
2ckxA00,-0.8231096,5.434955,1,10,246,220,1.10,Mainly Alpha
4jpnA00,-8.854803,-1.7420255,6,10,250,2700,6.10,Special
3do6A02,0.77837545,4.5261793,3,30,1510,10,3.30,Alpha Beta
6c9xA03,7.6380467,0.8861257,2,60,40,4040,2.60,Mainly Beta
5nfmA00,3.5661576,6.337128,3,30,300,90,3.30,Alpha Beta
3pfyA01,6.5277033,5.139042,3,30,200,90,3.30,Alpha Beta
1y8aA02,-2.062842,3.3585284,1,10,3870,10,1.10,Mainly Alpha
4mzgB00,5.382003,0.50635713,2,80,10,70,2.80,Mainly Beta
4kt6A01,1.1357783,6.237115,1,10,10,1660,1.10,Mainly Alpha
2e1mA04,3.7551181,7.0468183,3,30,160,490,3.30,Alpha Beta
3uebF00,-1.3027827,4.5358806,3,30,300,100,3.30,Alpha Beta
4ebgA00,5.284371,5.835687,3,10,450,560,3.10,Alpha Beta
3fgxA00,-0.9635605,5.8041453,3,30,2220,10,3.30,Alpha Beta
1av1A00,-4.727352,-7.6794677,1,20,5,1230,1.20,Mainly Alpha
1iuqA02,-1.5293201,-0.61188203,3,40,1130,10,3.40,Alpha Beta
5nx8B03,0.25605842,7.4815035,6,10,250,1570,6.10,Special
1vq8P01,1.375233,8.100044,1,10,1650,10,1.10,Mainly Alpha
3icjA03,3.8081028,5.1653585,3,10,310,70,3.10,Alpha Beta
2l3lA01,-3.2139726,2.3072786,1,20,58,1250,1.20,Mainly Alpha
1rifA01,4.6874347,5.5818834,3,30,780,20,3.30,Alpha Beta
1g6xA00,7.6754894,3.4692533,4,10,410,10,4.10,Few Sec. Str.
4a56A00,-2.5758598,4.450168,1,20,58,1630,1.20,Mainly Alpha
2rp5A00,-2.4384842,3.1668727,1,10,150,830,1.10,Mainly Alpha
1lj2A00,-9.109947,-0.33302405,1,20,5,970,1.20,Mainly Alpha
3hr4C01,-0.6678607,5.3874984,6,10,250,410,6.10,Special
2cw9A00,1.7689571,1.0192705,3,10,450,240,3.10,Alpha Beta
2kddA00,1.939364,5.219912,6,10,140,560,6.10,Special
3rcoB00,3.522146,5.7156987,3,30,420,610,3.30,Alpha Beta
3kk4A01,0.23756985,5.130646,1,10,3990,20,1.10,Mainly Alpha
4phzA02,-6.75609,1.9948857,1,10,287,710,1.10,Mainly Alpha
1n2mC00,4.7835493,1.2069411,3,50,20,10,3.50,Alpha Beta
1yhpA02,6.9227233,3.6987176,2,60,40,1720,2.60,Mainly Beta
3mlgA00,-7.0855813,-0.7626793,1,20,120,1980,1.20,Mainly Alpha
4ak2A01,6.611865,3.1903684,2,60,40,2720,2.60,Mainly Beta
3g2oB01,5.944844,0.53902483,6,20,160,20,6.20,Special
3hynA00,0.64421916,1.7052436,3,40,50,11200,3.40,Alpha Beta
1twfA09,3.1174273,4.882963,3,30,1360,140,3.30,Alpha Beta
3w9eC00,4.91418,-0.09351302,2,70,230,10,2.70,Mainly Beta
1twfA06,-3.884643,3.1752634,1,10,132,30,1.10,Mainly Alpha
1m0wB05,4.637695,6.435327,3,30,1490,50,3.30,Alpha Beta
2dsxA00,4.3901615,6.5044103,2,20,28,10,2.20,Mainly Beta
4q68A02,5.6052194,5.3293376,2,30,260,10,2.30,Mainly Beta
1njhA00,6.879802,2.2518752,2,70,180,10,2.70,Mainly Beta
1twfB07,6.4344144,3.1748304,2,40,50,150,2.40,Mainly Beta
3m1tA00,-4.8694987,-3.0936093,1,10,3210,10,1.10,Mainly Alpha
2l6uA00,4.6909237,1.8152711,2,40,290,30,2.40,Mainly Beta
3jtzA00,6.5517936,5.099024,3,30,160,390,3.30,Alpha Beta
1mw9X01,1.4704814,2.54283,3,40,50,140,3.40,Alpha Beta
4aj5100,-10.412392,-5.8573246,6,10,250,1400,6.10,Special
2rdqA00,0.79036826,-0.1221325,2,60,120,620,2.60,Mainly Beta
5azpB01,-8.003711,-7.295786,1,20,1600,10,1.20,Mainly Alpha
5uz0A02,1.9493032,2.3482597,3,40,140,20,3.40,Alpha Beta
1uhvA01,6.9400277,2.028603,2,60,40,1500,2.60,Mainly Beta
2uv8G03,3.2283075,4.240242,3,30,70,3320,3.30,Alpha Beta
3hrzA06,5.29292,5.4471207,6,20,50,160,6.20,Special
2lgqA00,2.05151,5.6039753,1,10,287,1130,1.10,Mainly Alpha
3giaA00,-7.6314754,-7.845456,1,20,1740,10,1.20,Mainly Alpha
1gxlA02,4.782731,5.430242,3,30,70,1620,3.30,Alpha Beta
4l6xA03,4.4986625,5.9109416,4,10,870,10,4.10,Few Sec. Str.
2axcA02,-0.66966903,5.6134896,1,20,5,740,1.20,Mainly Alpha
4hyzA00,2.0862896,4.1524286,3,10,450,590,3.10,Alpha Beta
3rx6A00,-8.554674,-0.56913626,1,20,58,1090,1.20,Mainly Alpha
1e59A00,0.09051708,1.2598233,3,40,50,1240,3.40,Alpha Beta
5x9lA00,3.9085963,0.28007105,2,60,110,10,2.60,Mainly Beta
1k6yA01,1.7487782,7.6918726,1,10,10,200,1.10,Mainly Alpha
2hekA02,3.457825,5.4343247,3,30,70,1370,3.30,Alpha Beta
1hy9A00,6.044044,6.00721,4,10,40,30,4.10,Few Sec. Str.
4x5wA01,4.417904,4.526133,3,10,320,10,3.10,Alpha Beta
2yh5A00,3.1413627,5.1021414,3,30,310,170,3.30,Alpha Beta
2wmoA01,-5.258956,2.3122284,1,25,40,410,1.25,Mainly Alpha
2q9rA01,-4.9547915,-1.8486996,1,20,1590,10,1.20,Mainly Alpha
4wveA00,3.5889747,-5.509125,2,20,230,30,2.20,Mainly Beta
5x6vF00,0.27629927,5.9148655,3,30,450,190,3.30,Alpha Beta
3qfsA02,0.059309784,5.174002,1,20,990,10,1.20,Mainly Alpha
2zm5A02,-0.02698014,7.1959805,1,10,20,140,1.10,Mainly Alpha
2lpeA01,-0.5878564,5.970686,6,10,140,1120,6.10,Special
4nuuA02,-3.1241515,4.830931,1,20,58,830,1.20,Mainly Alpha
2zaiA04,5.8872805,0.7800611,2,60,40,3030,2.60,Mainly Beta
2vnuD02,7.335696,2.9904833,2,40,50,700,2.40,Mainly Beta
2vbuA01,6.8618655,2.296436,2,40,30,30,2.40,Mainly Beta
3c0fB00,4.0881305,5.053133,3,30,1490,340,3.30,Alpha Beta
2pifA01,2.6863256,4.164108,3,40,1640,10,3.40,Alpha Beta
2elcA02,-1.542446,-0.94067043,3,40,1030,10,3.40,Alpha Beta
1t23A00,5.8961234,4.782838,3,10,470,10,3.10,Alpha Beta
2p9xA00,-2.7740018,5.408352,1,10,1200,200,1.10,Mainly Alpha
4gvqA01,3.8115184,5.5794506,3,10,340,11,3.10,Alpha Beta
3agkA01,0.4436329,3.8905823,3,30,960,10,3.30,Alpha Beta
3pguA00,5.022636,-3.638222,2,40,160,60,2.40,Mainly Beta
1y43B00,6.196173,0.60506964,2,60,120,700,2.60,Mainly Beta
2hiyA02,3.7764564,5.4130745,3,30,70,1260,3.30,Alpha Beta
1tm9A00,-2.2544446,3.0143929,1,10,3960,10,1.10,Mainly Alpha
1kqfC00,-6.9520497,-0.7007622,1,20,950,20,1.20,Mainly Alpha
3n6xA02,3.3380637,6.3637614,3,40,50,11290,3.40,Alpha Beta
2jq3A00,-0.7654996,3.3492565,6,10,90,10,6.10,Special
3lm3A02,5.9482913,5.575962,3,30,1120,110,3.30,Alpha Beta
1w5rA01,1.1734146,3.1676335,3,30,2140,10,3.30,Alpha Beta
3hxlA01,5.284037,5.539712,3,30,1490,360,3.30,Alpha Beta
3vhxF00,6.780205,2.7379243,2,60,40,4330,2.60,Mainly Beta
3zghA00,5.614071,0.20713352,2,60,40,3400,2.60,Mainly Beta
2xsbA02,-3.9771335,1.3190508,1,20,58,240,1.20,Mainly Alpha
1wlgA02,5.796064,0.96767294,2,60,98,20,2.60,Mainly Beta
2fcwA00,-8.246813,2.032032,1,20,81,10,1.20,Mainly Alpha
3ckdA02,-3.079573,1.3901331,1,20,58,360,1.20,Mainly Alpha
4c48C00,-1.7662512,3.681716,6,10,250,2480,6.10,Special
1oi2A01,0.4359466,1.3312645,3,40,50,10440,3.40,Alpha Beta
2yeqA02,-2.0360458,-4.1191597,3,60,21,70,3.60,Alpha Beta
3vkiA02,7.6812134,3.776858,2,30,30,760,2.30,Mainly Beta
3k6tB00,-1.6582652,6.316562,1,20,5,4010,1.20,Mainly Alpha
1y6xA00,-1.7150319,4.9844847,1,10,287,1080,1.10,Mainly Alpha
2db7A01,-1.3298625,6.2749095,6,10,250,980,6.10,Special
4lr4A01,6.7548437,2.0401855,2,60,120,1420,2.60,Mainly Beta
3zbdA00,6.7169657,2.4625204,2,30,30,1000,2.30,Mainly Beta
1zatA01,1.8434771,3.9676154,3,10,20,800,3.10,Alpha Beta
4zr8B00,-2.85863,-3.2211647,3,20,20,210,3.20,Alpha Beta
1kblA05,-3.12688,5.6492805,1,20,80,30,1.20,Mainly Alpha
3vutA01,4.8785524,6.537629,6,10,140,2120,6.10,Special
3ungC01,-5.023917,0.30184767,3,30,70,2220,3.30,Alpha Beta
4q11A00,3.0640292,4.8551555,3,30,310,230,3.30,Alpha Beta
3ol4A02,1.2413031,6.1088386,1,10,10,2390,1.10,Mainly Alpha
5i2mA03,7.076423,4.144076,2,30,29,130,2.30,Mainly Beta
3dclA01,5.694973,2.2137291,2,102,30,10,2.102,Mainly Beta
4uhvA03,4.9796963,5.6839223,4,10,220,110,4.10,Few Sec. Str.
3pmqA02,2.7963924,7.040335,1,10,720,180,1.10,Mainly Alpha
1ju2A02,0.456087,2.89574,3,30,410,40,3.30,Alpha Beta
2yx1A01,4.8323836,5.725421,3,30,70,2580,3.30,Alpha Beta
4gznC02,5.1007557,6.4012003,3,30,160,60,3.30,Alpha Beta
2kw3A00,1.6967396,5.7570443,6,10,140,1290,6.10,Special
1vzyA02,3.869417,6.024258,3,90,1280,10,3.90,Alpha Beta
3t4rA00,-0.114649616,6.101486,1,20,120,1590,1.20,Mainly Alpha
5uqmA03,0.9301055,6.1893725,1,10,10,1780,1.10,Mainly Alpha
6az1V01,0.53861123,5.643771,1,10,60,20,1.10,Mainly Alpha
4g1iA02,4.079973,6.428458,3,30,300,170,3.30,Alpha Beta
3fcsB06,5.4028955,5.731161,4,10,1240,30,4.10,Few Sec. Str.
2zihC00,-4.5457015,-1.4641936,1,10,3630,10,1.10,Mainly Alpha
4dkkA02,4.4797163,5.6723013,3,30,160,20,3.30,Alpha Beta
3djlA02,3.4777746,6.4045906,6,10,250,600,6.10,Special
4bllA01,-2.6066134,1.0757172,1,10,520,10,1.10,Mainly Alpha
1v9vA01,-2.7056892,4.462256,1,20,1480,20,1.20,Mainly Alpha
3okgA02,0.44264954,1.9709799,3,90,220,20,3.90,Alpha Beta
3lm3A01,-1.4421718,-0.9456078,3,20,20,510,3.20,Alpha Beta
3qs2A00,6.1200953,-0.4711712,2,60,40,3290,2.60,Mainly Beta
4bmjA00,4.029223,6.217263,6,20,250,40,6.20,Special
1xu6A00,4.5659065,6.257189,4,10,110,20,4.10,Few Sec. Str.
2es9A00,-1.1973872,4.110811,1,20,1290,30,1.20,Mainly Alpha
2nwtA00,4.933068,-2.301067,4,10,1150,10,4.10,Few Sec. Str.
3fppA03,-8.5196,2.0089471,6,10,140,1990,6.10,Special
2ag4A00,5.8640194,1.1057887,2,70,220,10,2.70,Mainly Beta
1n3lA01,-1.7642895,0.5742122,3,40,50,620,3.40,Alpha Beta
3t5tB01,-1.760078,-1.7371771,3,40,50,2000,3.40,Alpha Beta
1q5zA00,-2.3751621,1.7326634,1,10,4110,10,1.10,Mainly Alpha
1mbyA00,6.6303344,2.3814356,2,40,50,930,2.40,Mainly Beta
4fhrB02,-1.3765323,3.4537191,1,10,220,30,1.10,Mainly Alpha
2c42A03,-0.81718093,0.67744863,3,40,920,10,3.40,Alpha Beta
1z5zA02,-1.6039062,6.6322803,1,20,120,850,1.20,Mainly Alpha
2ntxA02,-1.6983254,4.4003386,1,20,58,1310,1.20,Mainly Alpha
5b1aF00,5.476015,5.914875,2,60,11,10,2.60,Mainly Beta
3cjyA00,4.0684705,-0.46081334,2,40,160,210,2.40,Mainly Beta
3hq1A02,1.718949,3.4951115,3,30,160,270,3.30,Alpha Beta
2sakA00,5.923693,2.1039321,3,10,20,130,3.10,Alpha Beta
3g3sA01,3.6248147,3.974398,3,40,630,110,3.40,Alpha Beta
5iz3A01,0.21486427,3.152319,3,30,540,10,3.30,Alpha Beta
2xnxM00,-6.993596,-4.5565066,6,10,140,780,6.10,Special
3sjrB00,-3.7411537,2.976417,1,10,132,90,1.10,Mainly Alpha
3nrlA00,6.902376,4.962691,2,40,10,390,2.40,Mainly Beta
3zrgA00,-0.1934323,6.529631,1,10,10,2470,1.10,Mainly Alpha
1ux6A01,-0.508025,-4.184669,4,10,1080,10,4.10,Few Sec. Str.
4i1oF01,-6.5068574,3.0701575,1,20,120,1700,1.20,Mainly Alpha
1u8vA01,-2.7900536,2.598209,1,10,3140,10,1.10,Mainly Alpha
3zihB00,3.905794,5.6899652,3,30,110,150,3.30,Alpha Beta
1vq8200,4.7089434,5.9684234,1,10,1620,10,1.10,Mainly Alpha
3fuyA00,2.9196026,3.4406693,3,30,70,1420,3.30,Alpha Beta
2w9yA00,-2.5051897,2.2524686,1,20,120,1100,1.20,Mainly Alpha
1c96A02,0.1803845,3.7380602,3,40,1060,10,3.40,Alpha Beta
4qi3A00,4.175166,-0.5839226,2,60,40,1210,2.60,Mainly Beta
4wi1A03,4.5233383,5.3175225,3,30,110,30,3.30,Alpha Beta
2fhzA00,2.7228656,3.9759803,3,30,190,30,3.30,Alpha Beta
2p9bA02,1.4832689,7.630988,3,30,110,90,3.30,Alpha Beta
3hjhA01,-1.1181508,-1.347312,3,40,50,11180,3.40,Alpha Beta
2d0oA03,1.3593093,1.5082891,3,50,30,70,3.50,Alpha Beta
2vqeM02,2.304261,7.6178308,4,10,910,10,4.10,Few Sec. Str.
3zn6A01,6.5614176,1.4120859,2,60,120,1170,2.60,Mainly Beta
2x5oA03,1.8786522,2.234126,3,90,190,20,3.90,Alpha Beta
2etdA00,-4.277007,0.8774989,1,20,1440,20,1.20,Mainly Alpha
4e0iA01,3.1822236,7.2584834,4,10,320,60,4.10,Few Sec. Str.
1oltA02,0.36400363,5.367774,1,10,10,920,1.10,Mainly Alpha
5wkrA02,1.9382405,6.897847,1,10,890,20,1.10,Mainly Alpha
3n05A03,1.2626885,7.0361505,1,10,10,1510,1.10,Mainly Alpha
4fvmA04,1.4603336,7.7958126,6,10,10,100,6.10,Special
3vejB00,0.12556449,7.0491433,1,10,286,70,1.10,Mainly Alpha
4g2aA02,0.5793087,5.643075,1,20,58,1690,1.20,Mainly Alpha
3dluA00,1.7809023,6.796068,3,30,56,30,3.30,Alpha Beta
1vr4C00,3.199606,5.2483144,3,30,110,70,3.30,Alpha Beta
3d0wD00,-3.0648646,5.748513,1,10,760,20,1.10,Mainly Alpha
4c0fC00,1.7161434,4.4092402,2,30,30,1020,2.30,Mainly Beta
4wiqA02,4.0921025,3.8054202,3,30,70,1040,3.30,Alpha Beta
2f5tX02,7.545943,2.3749583,2,30,30,690,2.30,Mainly Beta
1vdiA00,1.829913,7.644904,6,10,250,180,6.10,Special
2loqA01,0.5573397,6.4798265,6,10,110,10,6.10,Special
2kq8A01,6.8007975,5.57745,4,10,80,110,4.10,Few Sec. Str.
1x91A00,-8.275133,-0.875496,1,20,140,40,1.20,Mainly Alpha
2idbA03,5.4046564,5.4332747,1,20,5,570,1.20,Mainly Alpha
5a67A00,3.2050014,1.6625708,2,40,320,10,2.40,Mainly Beta
2ztjA02,3.9526632,7.102334,4,10,430,20,4.10,Few Sec. Str.
2v7qI00,3.4561846,4.0795994,1,10,1620,20,1.10,Mainly Alpha
2hoqA02,-1.9029735,5.1976223,1,10,150,520,1.10,Mainly Alpha
4mnrA01,7.022819,5.203872,3,90,1310,10,3.90,Alpha Beta
1c1kA02,-1.0304257,3.767768,1,10,220,50,1.10,Mainly Alpha
4zzxA01,-3.6935332,3.5219774,1,20,142,10,1.20,Mainly Alpha
3qexA06,3.5995772,5.5797677,3,40,1820,10,3.40,Alpha Beta
1wleA01,-7.8020754,1.8033384,1,10,287,40,1.10,Mainly Alpha
1f00I02,6.6942506,2.749615,2,60,40,1080,2.60,Mainly Beta
2iafA00,1.1753734,5.433837,3,30,1330,90,3.30,Alpha Beta
4bkwA03,3.332883,2.900683,3,30,500,40,3.30,Alpha Beta
3rc3A05,-3.416455,4.272567,1,20,58,1080,1.20,Mainly Alpha
4dguA01,7.0012445,4.441794,2,60,40,2680,2.60,Mainly Beta
2xepA03,2.0039136,6.8372664,1,10,8,620,1.10,Mainly Alpha
4e6nA02,-3.8333857,5.8706713,6,10,140,1010,6.10,Special
1nycA00,6.5014887,2.8207333,2,40,310,10,2.40,Mainly Beta
1byiA00,-0.31050354,-0.1818591,3,40,50,300,3.40,Alpha Beta
1ewfA01,3.156915,-0.18833542,3,15,10,10,3.15,Alpha Beta
3vtiA03,2.793655,3.3777137,3,90,870,40,3.90,Alpha Beta
4gqzD00,6.145005,1.4923484,2,60,40,3700,2.60,Mainly Beta
4o8sA02,-1.9828867,3.20695,1,20,58,1790,1.20,Mainly Alpha
2rkvA02,-1.668931,1.0128659,3,30,559,10,3.30,Alpha Beta
4yqaA02,0.05675688,7.009739,1,10,1270,20,1.10,Mainly Alpha
3k3vA00,4.395808,5.96346,3,30,1490,40,3.30,Alpha Beta
1y6zA01,-2.224783,4.609695,3,30,230,80,3.30,Alpha Beta
1iznB03,2.3783891,5.6682,6,10,250,30,6.10,Special
2b1eA03,-6.8718567,0.5281887,1,10,357,60,1.10,Mainly Alpha
3l09A03,4.839591,5.799425,3,30,70,2670,3.30,Alpha Beta
1tf5A02,1.243439,4.27542,3,90,1440,10,3.90,Alpha Beta
2ok2A03,4.0861435,6.3673024,6,10,140,430,6.10,Special
1vsy300,0.6181301,6.536055,1,10,287,2210,1.10,Mainly Alpha
4ip2A02,2.6801088,5.468617,3,40,1670,10,3.40,Alpha Beta
3wcnA01,-1.118521,1.2782443,3,90,1150,110,3.90,Alpha Beta
4kf8B00,-5.060176,-2.7020357,1,25,10,70,1.25,Mainly Alpha
5oomq00,-6.667543,0.15297937,6,10,280,120,6.10,Special
3gnfB04,7.1102905,4.099697,2,30,30,550,2.30,Mainly Beta
2wkdA00,7.652137,2.6756692,2,40,50,400,2.40,Mainly Beta
1vhnA02,0.65020746,6.3523417,1,10,1200,80,1.10,Mainly Alpha
4gucA00,6.7751637,2.1857917,2,60,40,3720,2.60,Mainly Beta
2x0qA04,-1.4947873,2.5493815,1,10,510,40,1.10,Mainly Alpha
1twfB05,4.5138106,5.9397154,3,90,1070,20,3.90,Alpha Beta
1dkgA01,-8.8491,-1.3553289,3,90,20,20,3.90,Alpha Beta
3mtvA02,2.6827533,4.056296,3,90,70,70,3.90,Alpha Beta
1ygtA01,3.1832595,4.063456,3,30,1140,40,3.30,Alpha Beta
3o3mB01,-2.750014,4.1477757,1,20,1270,370,1.20,Mainly Alpha
3krmA00,-2.2555792,5.054262,3,30,310,210,3.30,Alpha Beta
3jamf00,5.805404,2.892592,6,20,50,150,6.20,Special
4jdmC02,0.41825426,5.1634016,6,10,250,3190,6.10,Special
4mbyH00,4.2451773,-1.0026401,2,60,175,10,2.60,Mainly Beta
4axpA01,0.31269938,5.5250583,6,10,250,2440,6.10,Special
3tj8A01,7.5303264,3.986543,2,60,260,20,2.60,Mainly Beta
1cqmA00,5.118223,3.7385025,3,30,70,60,3.30,Alpha Beta
2fupA00,-5.896769,1.8287005,1,20,58,300,1.20,Mainly Alpha
3rlfF03,6.752068,4.057319,2,40,430,10,2.40,Mainly Beta
1oi7A02,1.6668458,2.5259447,3,40,50,261,3.40,Alpha Beta
3cqcB01,-2.454213,5.045409,1,20,58,1380,1.20,Mainly Alpha
6fbcA02,-2.4344738,5.643731,1,20,1060,10,1.20,Mainly Alpha
2l3nA00,2.9515536,0.79968184,1,10,1050,20,1.10,Mainly Alpha
4xb6F00,1.7325584,1.1500831,3,40,50,11310,3.40,Alpha Beta
4zcnA00,7.4790316,2.3845558,2,40,10,500,2.40,Mainly Beta
3thfA00,-10.372297,-10.465196,6,10,250,3120,6.10,Special
3kdrA02,3.2662628,5.246706,3,40,140,120,3.40,Alpha Beta
4g26A02,-1.9392587,1.9607376,3,40,50,11980,3.40,Alpha Beta
1qhhD01,3.5687306,6.3407073,3,30,160,800,3.30,Alpha Beta
1lnsA03,0.6797553,5.717801,1,10,246,70,1.10,Mainly Alpha
5a0yA03,-5.561392,-2.4866385,1,20,840,10,1.20,Mainly Alpha
2p62A01,1.9606487,3.3362596,3,40,50,10620,3.40,Alpha Beta
4mloA01,7.9286056,-1.046584,2,60,120,810,2.60,Mainly Beta
3bg1B01,6.268137,5.2764297,6,20,50,170,6.20,Special
1s4cC00,7.5016775,0.4498431,2,60,120,370,2.60,Mainly Beta
3sb1A01,5.5121408,5.3385468,3,30,1370,140,3.30,Alpha Beta
2fl7A00,2.652535,1.4582807,2,30,30,490,2.30,Mainly Beta
3kk7A03,4.975587,6.246581,3,30,160,840,3.30,Alpha Beta
2w8tA01,0.25187182,3.2258406,3,90,1150,10,3.90,Alpha Beta
2llmA00,-2.8838067,4.9208584,6,10,250,1670,6.10,Special
3venA03,0.91166645,1.5551952,3,90,870,20,3.90,Alpha Beta
2v6eA04,0.12476699,5.5409374,1,10,10,2040,1.10,Mainly Alpha
1qa4A00,4.7694726,-1.4027505,4,10,890,10,4.10,Few Sec. Str.
3tk8B01,0.5929902,6.503799,1,10,166,10,1.10,Mainly Alpha
2fphX01,3.9782565,6.2183695,3,30,1370,160,3.30,Alpha Beta
3v1aA00,-2.168911,6.811143,4,10,860,20,4.10,Few Sec. Str.
3eo5A01,5.3182306,-0.10056153,2,20,230,10,2.20,Mainly Beta
2f8lA01,-2.516501,6.151953,1,10,150,470,1.10,Mainly Alpha
3rgzA02,6.080445,4.840941,3,30,1490,310,3.30,Alpha Beta
3v53E00,-2.0819197,3.129153,1,20,1390,10,1.20,Mainly Alpha
4jglA00,5.8073926,1.6772187,2,40,128,530,2.40,Mainly Beta
4dbgB01,3.8103468,6.6499314,6,10,140,1100,6.10,Special
2vf1A01,5.200514,4.9015083,6,10,250,3350,6.10,Special
1i4jA00,0.7392678,5.3413386,3,90,470,10,3.90,Alpha Beta
